,date,type,operator,fatalities,location,country,year
13274,29-JUN-1976,Learjet 24D,Construcciones Protexa,4.0,near Mexico City,Mexico,1976
13275,30-JUN-1976,Antonov An-2R,"Aeroflot, Central Region",3.0,within Valikhanovskiy d...,Kazakhstan,1976
13276,02-JUL-1976,Lockheed L-188A Electra,Eastern Air Lines,0.0,Boston-Logan Int...,USA,1976
13279,11-JUL-1976,Antonov An-2,"Aeroflot, Ukraine",0.0,Sivash Lagoon,Russia,1976
13280,14-JUL-1976,Lisunov Li-2,MAP Kazan APO,0.0,Tashkent-Yuzhny ...,Uzbekistan,1976
13281,15-JUL-1976,Antonov An-2P,"Aeroflot, West Siberia",0.0,near Barnaul,Russia,1976
13282,17-JUL-1976,Tupolev Tu-104A,"Aeroflot, East Siberia",0.0,near Chita Airport (HTA),Russia,1976
13283,22-JUL-1976,Volpar Turboliner II,Winship Air Services,5.0,"near Dutch Harbor, AK",USA,1976
13284,23-JUL-1976,DHC-3 Otter,Ontario Ministry of Natural Res.,0.0,"Nym Lake, ON",Canada,1976
13285,24-JUL-1976,Fokker F-27 Friendship 100,Indian Airlines,0.0,Bhubaneswar Airp...,India,1976
13286,26-JUL-1976,Antonov An-2R,"Aeroflot, North Kavkaz",0.0,near Astrakhan,Russia,1976
13287,28-JUL-1976,BN-2A Islander,TAP Regional,0.0,CovilhA Airport...,Portugal,1976
13288,28-JUL-1976,Ilyushin Il-18V,CSA,76.0,near Bratislava-Ivank...,Slovakia,1976
13289,28-JUL-1976,Antonov An-2R,"Aeroflot, Moscow SPiMVL",4.0,near Sokol'skoye,Russia,1976
13290,02-AUG-1976,Boeing 707-373C,KAL,5.0,near Tehran-Mehrabad ...,Iran,1976
13291,03-AUG-1976,BN-2 Defender,Oman AF,1.0,near Salalah,Oman,1976
13293,06-AUG-1976,GAF Nomad N.24,GAF,2.0,"Avalon Airport, ...",Australia,1976
13294,07-AUG-1976,Dassault Falcon 20C,Hansa Jet Corp.,3.0,near Chilpancingo,Mexico,1976
13295,09-AUG-1976,Hawker Siddeley HS-748,SATENA,0.0,BogotA-Eldorado...,Colombia,1976
13296,09-AUG-1976,Douglas C-54E (DC-4),Spanish AF,12.0,Vejer de la Fron...,Spain,1976
13297,13-AUG-1976,Antonov An-24B,"Aeroflot, Kazakstan",0.0,Guryev Airport (...,Kazakhstan,1976
13298,13-AUG-1976,Antonov An-2T,"Aeroflot, Magadan",0.0,"near Uelen, Chukotka",Russia,1976
13299,15-AUG-1976,Vickers 785D Viscount,SAETA,59.0,Chimborazo Volcano,Ecuador,1976
13300,16-AUG-1976,Boeing 720-047B,Avianca,0.0,Mexico City-Juar...,Mexico,1976
13301,16-AUG-1976,Beech 99,Bar Harbor Airlines,0.0,near Bar Harbor Airpo...,USA,1976
