,date,type,operator,fatalities,location,country,year
4,date unk.,Antonov An-12BP,Soviet AF,0.0,Massawa Airport ...,Eritrea,unknown
7,date unk.,Antonov An-2,Aeroflot,0.0,Chita region,Russia,unknown
9,date unk.,Antonov An-26,Soviet AF,0.0,Orenburg Air Base,Russia,unknown
10,date unk.,Antonov An-26,Russian AF,0.0,Belgorod Airport...,Russia,unknown
13,date unk.,Antonov An-2R,PZL-Mielec,0.0,Mielec,Poland,unknown
20,date unk.,Antonov An-32,Indian AF,0.0,Kalaikunda Air F...,India,unknown
22,date unk.,Avia 14,Balkan Bulgarian,0.0,Sofia-Vrazhdebna...,Bulgaria,unknown
25,date unk.,BN-2A Islander,MD Air Services,0.0,Nassau Internati...,Bahamas,unknown
40,date unk.,Douglas C-47A (DC-3),Unknown,0.0,within Bahamas,Bahamas,unknown
44,date unk.,Grumman G-159 Gulfstream I,JetPet,0.0,Nairobi-Wilson A...,Kenya,unknown
46,date unk.,Ilyushin Il-14T,"GUSMP, Directorate of Polar Aviation",0.0,Ice Station Koms...,Antarctica,unknown
49,date unk.,Ilyushin Il-76M,Soviet AF,0.0,Novokuznetsk Air...,Russia,unknown
50,date unk.,Ilyushin Il-76M,Soviet AF,0.0,Shadrinsk Air Base,Russia,unknown
51,date unk.,Ilyushin Il-76TD,Yemen AF,0.0,Sana'a Internati...,Yemen,unknown
52,date unk.,Ilyushin Il-78,Ukraine Air Force,0.0,Uzyn Air Base,Ukraine,unknown
58,date unk.,SNCASO S.O.94R Corse II,French Navy,0.0,within France,France,unknown
62,11-AUG-1919,Felixstowe Fury,RAF,1.0,near Felixtowe RNAS,U.K.,1919
63,23-FEB-1920,Handley Page O/7,Handley Page Transport,0.0,"Acadia Siding, C...",South Africa,1920
64,25-FEB-1920,Handley Page O/400,Handley Page Transport,0.0,near El Shereik,Sudan,1920
65,30-JUN-1920,Handley Page O/400,Handley Page Transport,0.0,AstanA,Sweden,1920
66,14-DEC-1920,Handley Page O/400,Handley Page Transport,4.0,Golders Green,U.K.,1920
68,02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0.0,Meerut,India,1921
70,26-AUG-1921,Farman F.60 Goliath,SNETA,2.0,near Calais [The Engl...,France,1921
71,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,1921
72,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,1921
74,22-JAN-1922,Handley Page O/10,Handley Page Transport,0.0,near Senlis,France,1922
76,07-APR-1922,Farman F.60 Goliath,Grands Express AAriens,5.0,Thieuloy-Saint-A...,France,1922
78,14-MAY-1923,Farman F.60 Goliath,Air Union,6.0,"Monsures, Somme",France,1923
79,25-JUN-1923,Farman F.60 Goliath,Air Union,0.0,near Ataples,France,1923
80,10-JUL-1923,Handley Page W.8,Handley Page Transport,0.0,Poix,France,1923
81,15-JUL-1923,Farman F.60 Goliath,Compagnie AArienne FranAaise,0.0,near Valenciennes,France,1923
82,27-AUG-1923,Farman F.60 Goliath,Air Union,1.0,"East Malling, Kent",U.K.,1923
86,06-AUG-1924,Farman F.60 Goliath,Air Union,0.0,"Golden Green, ne...",U.K.,1924
87,24-AUG-1924,Farman F.61 Goliath,SGTA,0.0,near Amsterdam-Schiph...,Netherlands,1924
88,16-OCT-1925,Farman F.60 Goliath,Air Union,3.0,"Wadhurst, East S...",U.K.,1925
89,14-NOV-1925,Farman F.60 Goliath,Air Union,0.0,near Boulogne [Englis...,France,1925
90,18-AUG-1926,BlAriot 155,Air Union,4.0,"Hurst, near Ashf...",U.K.,1926
91,02-OCT-1926,BlAriot 155,Air Union,7.0,"Leigh, Kent",U.K.,1926
92,21-OCT-1926,Handley Page W.10,Imperial Airways,0.0,English Channel,U.K.,1926
94,05-MAY-1927,Farman F.61 Goliath,SGTA,2.0,Atlantic Ocean,Atlantic Ocean,1927
95,22-AUG-1927,Fokker F.VIII,KLM,1.0,"St. Julians, Sev...",U.K.,1927
96,15-FEB-1928,Handley Page W.8b,Imperial Airways,0.0,near Abbeville,France,1928
97,11-MAR-1928,Farman F.60 Goliath,Air Union,2.0,"near Folkestone, Kent...",U.K.,1928
98,11-APR-1928,Fokker F.VIII,KLM,0.0,Nigtevecht,Netherlands,1928
99,19-APR-1928,Junkers G.24,Deutsche Lufthansa,0.0,Spaichingen,Germany,1928
100,12-MAY-1928,Ford 4-AT-A Tri-Motor,Ford Air Freight Lines,2.0,"Dearborn, MI",USA,1928
101,23-MAY-1928,Farman F.63bis Goliath,SGTA,3.0,near KAln-Butzweiler...,Germany,1928
102,25-AUG-1928,Ford 4-AT-B Tri-Motor,British Columbia Airways,7.0,"near Port Townsend, WA",USA,1928
103,25-SEP-1928,Junkers G.31de,Deutsche Lufthansa,0.0,Arnsberg,Germany,1928
104,13-OCT-1928,Ford 4-AT-A Tri-Motor,Stout Air Services,0.0,"Detroit, MI",USA,1928
105,23-NOV-1928,Ford 4-AT-B Tri-Motor,Spokane Airways,3.0,"Moran Prairie, S...",USA,1928
106,01-DEC-1928,Ford 4-AT-C Tri-Motor,Sunbeam Air Transport Co.,5.0,"near Spur, TX",USA,1928
107,11-DEC-1928,Junkers G.31fi,Deutsche Lufthansa,3.0,Letzlingen,Germany,1928
108,22-DEC-1928,Ford 4-AT-A Tri-Motor,Texaco,0.0,"Floresville, TX",USA,1928
110,16-JAN-1929,Ford 4-AT-A Tri-Motor,Stout Air Services,0.0,"near Toledo, OH",USA,1929
112,17-MAR-1929,Ford 4-AT-B Tri-Motor,Colonial Western Airlines,14.0,"near Newark Airport, ...",USA,1929
113,19-MAR-1929,Ford 5-AT-B Tri-Motor,Ford Motor Company,4.0,"Dearborn, MI",USA,1929
114,12-APR-1929,Dornier Do R4 Superwal,SANA,0.0,near Napoli,Italy,1929
116,16-MAY-1929,Vickers 170 Vanguard,Vickers-Armstrongs,2.0,Shepperton,U.K.,1929
117,19-MAY-1929,Farman F.63bis Goliath,Air Union,0.0,"Paddock Wood, Kent",U.K.,1929
118,02-JUN-1929,Fokker F.10A,Western Air Express,0.0,"Wichita, KS",USA,1929
119,13-JUN-1929,Fokker F.10A,Pan Am,2.0,Santiago Airport...,Cuba,1929
120,17-JUN-1929,Handley Page W.10,Imperial Airways,7.0,near Dungeness,U.K.,1929
121,24-JUN-1929,Ford 5-AT-A Tri-Motor,Northwest Airways,1.0,"Saint Paul, MN",USA,1929
122,29-AUG-1929,Junkers G.24li,AB Aerotransport,0.0,Emsland,Germany,1929
123,03-SEP-1929,Ford 5-AT-B Tri-Motor,Transcontinental Air Transport - TAT,8.0,"near Gallup, NM",USA,1929
124,06-SEP-1929,DH.66 Hercules,Imperial Airways,3.0,Jask Airport,Iran,1929
125,10-SEP-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,near GrAmitz,Germany,1929
126,19-OCT-1929,Sabca (Handley Page) W.8B,Sabena,0.0,Edegem,Belgium,1929
127,26-OCT-1929,Short S.8/1 Calcutta,Imperial Airways,7.0,near La Spezia,Italy,1929
129,06-NOV-1929,Junkers G.24bi,Deutsche Lufthansa,7.0,"near Godstone, Surrey",U.K.,1929
130,18-NOV-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,LA14beck-TravemA14...,Germany,1929
131,27-NOV-1929,Fokker F.32,Fokker Aircraft Corp. of America,0.0,near Hempstead-Roosev...,USA,1929
132,04-DEC-1929,Curtiss B-2 Condor (Condor 18),USAAC,1.0,"Goodwater, AL",USA,1929
133,12-DEC-1929,Farman F.180T,SGTA,0.0,Toussus-le-Noble,France,1929
134,26-DEC-1929,Fokker F.10,Western Air Express,0.0,Oakland Municipa...,USA,1929
135,19-JAN-1930,Ford 5-AT-C Tri-Motor,Maddux Airlines,16.0,"Oceanside, CA",USA,1930
136,07-FEB-1930,Junkers R-42 (G.24),Chilean AF,2.0,near Punta Arenas,Chile,1930
137,08-FEB-1930,Ford 4-AT-A Tri-Motor,Private,0.0,"San Marcos, TX",USA,1930
138,10-FEB-1930,Farman F.63bis Goliath,Air Union,2.0,"Marden, Kent",U.K.,1930
139,14-FEB-1930,DH.66 Hercules,Imperial Airways,0.0,Gaza,Israel,1930
140,23-FEB-1930,Fokker F.10A,Western Air Express,3.0,"near San Bernardino, CA",USA,1930
141,02-MAR-1930,Ford 4-AT-A Tri-Motor,NYRBA,0.0,Cordoba,Argentina,1930
144,05-JUN-1930,Ford 5-AT-B Tri-Motor,Colonial Air Transport,1.0,"Boston, MA",USA,1930
145,25-JUN-1930,Ford 5-AT-A Tri-Motor,Northwest Airways,0.0,Chicago Municipa...,USA,1930
146,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,1930
147,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,1930
148,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,1930
149,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,1930
150,25-JUN-1930,Fokker F.10,Shell Oil,0.0,"Chicago, IL",USA,1930
151,25-JUN-1930,Fokker F.10,Northern Airlines,0.0,"Chicago, IL",USA,1930
152,09-JUL-1930,Farman F.63bis Goliath,SGTA,1.0,Aalsmeer,Netherlands,1930
154,04-AUG-1930,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0.0,"Ocotal, Nueva Se...",Nicaragua,1930
155,22-AUG-1930,Ford 5-AT-C Tri-Motor,CSA,12.0,Jihlava (Iglau),Czech Rep.,1930
156,03-SEP-1930,Fokker F.10A,Pan Am,0.0,Santo Domingo,Dominican Rep.,1930
157,30-OCT-1930,Handley Page W.8g,Imperial Airways,3.0,"Boulogne, Paris",France,1930
158,07-NOV-1930,Junkers G.24,Syndicato Condor,1.0,"near Iguape, SP",Brazil,1930
159,21-NOV-1930,Ford 4-AT-B Tri-Motor,Curtiss-Wright Flying Service,0.0,"Burbank, CA",USA,1930
160,21-NOV-1930,Dornier Do R4 Superwal,SANA,6.0,"near Cap de Creus, Spain",Mediterranean Sea,1930
162,24-NOV-1930,Ford 5-AT-C Tri-Motor,Ford Motor Company,2.0,"Dearborn, MI",USA,1930
164,22-DEC-1930,Fokker F.10,Western Air Express,0.0,"Alhambra, CA",USA,1930
166,27-JAN-1931,Ford 5-AT-B Tri-Motor,TWA,0.0,"Harrisburg, PA",USA,1931
168,31-MAR-1931,Fokker F.10A,TWA,8.0,"near Bazaar, KS",USA,1931
169,01-APR-1931,Ford 5-AT-C Tri-Motor,Panagra,0.0,Ovalle Airport (...,Chile,1931
170,17-APR-1931,Ford 5-AT-C Tri-Motor,Private,0.0,"near Mohania, Bihar",India,1931
171,18-APR-1931,Junkers F.24ko (G.24),Deutsche Lufthansa,0.0,Gex (Ain),France,1931
172,19-APR-1931,DH.66 Hercules,Imperial Airways,0.0,near Kupang,Indonesia,1931
173,22-APR-1931,A.W. Argosy II,Imperial Airways,0.0,London-Croydon A...,U.K.,1931
174,29-APR-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0.0,"near Elyria, OH",USA,1931
175,11-JUN-1931,Junkers G.24,AB Aerotransport,0.0,MalmA-Bulltofta...,Sweden,1931
176,16-JUN-1931,A.W. Argosy IA,Imperial Airways,0.0,Aswan,Egypt,1931
177,04-AUG-1931,Fokker F.IX,KLM,0.0,Rotterdam-Waalha...,Netherlands,1931
179,09-AUG-1931,Ford 5-AT-B Tri-Motor,American Airways,6.0,"Cincinnati, OH",USA,1931
180,19-AUG-1931,Ford 5-AT-B Tri-Motor,TWA,0.0,"Pittsburgh, PA",USA,1931
181,27-AUG-1931,Sikorsky S.41B,Boston-Maine Airways,1.0,"near Gloucester, MA",USA,1931
182,19-SEP-1931,Ford XB-906 (Tri-Motor),Ford Motor Company,2.0,"near Dearborn, MI",USA,1931
183,27-OCT-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0.0,"Ashley, IN",USA,1931
184,19-DEC-1931,Ford 4-AT-E Tri-Motor,TWA,1.0,"Oklahoma City, OK",USA,1931
186,15-MAR-1932,Ford 4-AT-B Tri-Motor,Skyway,0.0,Blackwell Airpor...,USA,1932
187,19-MAR-1932,Fokker F.10A,American Airways,7.0,"Calimesa, CA",USA,1932
189,10-JUL-1932,Boeing 80A,Boeing Air Transport,0.0,"Sterling, IL",USA,1932
190,16-JUL-1932,Ford 5-AT-C Tri-Motor,Panagra,9.0,near Vitacura,Chile,1932
191,29-JUL-1932,Junkers Ju-52/3mce,Deutsche Lufthansa,0.0,near Schleissheim Aer...,Germany,1932
192,31-AUG-1932,Junkers G.24,AB Aerotransport,2.0,Tubbergen,Netherlands,1932
193,08-SEP-1932,Fokker F.10A,American Airways,3.0,"near Salt Flat, TX",USA,1932
194,17-SEP-1932,LiorA et Olivier 212,Air Union,1.0,Selsdon Park,U.K.,1932
195,02-OCT-1932,Ford 5-AT-B Tri-Motor,Pan Am,0.0,"El Aceituno, Cho...",Honduras,1932
196,26-OCT-1932,Ford 5-AT-D Tri-Motor,LAB,2.0,"Villamontes, Gra...",Bolivia,1932
198,14-DEC-1932,Ford 5-AT-B Tri-Motor,TWA,2.0,Amarillo-English...,USA,1932
199,13-JAN-1933,LiorA et Olivier 213,Air Union,0.0,Poix-de-Picardie,France,1933
200,14-JAN-1933,Curtiss Condor 18,Eastern Air Transport,2.0,"Newark, NJ",USA,1933
201,24-JAN-1933,Ford 5-AT-D Tri-Motor,Pacific Air Transport,2.0,"Eugene, OR",USA,1933
202,10-FEB-1933,Ford 5-AT-B Tri-Motor,TWA,0.0,"Bakersfield, CA",USA,1933
203,22-MAR-1933,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0.0,"Virginia Beach, VA",USA,1933
204,28-MAR-1933,A.W. Argosy II,Imperial Airways,15.0,near Diksmuide,Belgium,1933
205,31-MAR-1933,Ford 4-AT-B Tri-Motor,Private,7.0,"near Neodesha, KS",USA,1933
207,02-JUN-1933,Ford 4-AT-E Tri-Motor,Plane Speaker Corporation,0.0,Hempstead-Roosev...,USA,1933
208,11-AUG-1933,Dornier Do R4 Superwal,SANA,0.0,near Valencia,Spain,1933
210,29-AUG-1933,Ford 5-AT-B Tri-Motor,TWA,5.0,"near Quay, NM",USA,1933
211,21-SEP-1933,Curtiss T-32 Condor II,Eastern Air Transport,0.0,"Newark, NJ",USA,1933
212,18-OCT-1933,Ford 4-AT-B Tri-Motor,Private,3.0,Managua,Nicaragua,1933
213,16-NOV-1933,LiorA et Olivier 213,Air France,0.0,near Beauvais,France,1933
216,15-JAN-1934,Dewoitine D.332,Air France,10.0,Corbigny,France,1934
217,05-MAR-1934,Ford 4-AT-B Tri-Motor,Morgan Air Lines,1.0,ToncontAn,Honduras,1934
219,22-MAR-1934,Ford 5-AT-C Tri-Motor,Panagra,4.0,Lima-Limatambo A...,Peru,1934
220,31-MAY-1934,LiorA et Olivier 213,Air France,2.0,Croydon,U.K.,1934
221,09-JUN-1934,Curtiss T-32 Condor II,American Airways,7.0,near Livingston Manor...,USA,1934
222,11-JUN-1934,Ford C-4A (5-AT-D) Tri-Motor,USAAC,0.0,"Camp Skeel, Osco...",USA,1934
223,11-JUN-1934,Ford 5-AT-C Tri-Motor,Panagra,5.0,Junin,Argentina,1934
224,23-JUN-1934,Ford 4-AT-B Tri-Motor,Mulzer Flying Service,0.0,"Columbus, OH",USA,1934
225,01-JUL-1934,Ford 4-AT-D Tri-Motor,Private,0.0,"Lima, OH",USA,1934
226,27-JUL-1934,Curtiss AT-32C Condor II,Swissair,12.0,Wurmlingen/Tuttl...,Germany,1934
228,02-SEP-1934,Ford 5-AT-D Tri-Motor,Hanford's Tri-State Airlines,0.0,"Cochrane, WI",USA,1934
229,22-SEP-1934,Handley Page W.10,National Aviation Displays,4.0,"Aston Clinton, B...",U.K.,1934
231,19-OCT-1934,DH.86 Express,Holyman's Airways,11.0,near Wilsons Promonto...,Australia,1934
232,26-OCT-1934,Ford 4-AT-E Tri-Motor,Ptarmigan Airlines,0.0,"Flat Airport, AK...",USA,1934
234,06-NOV-1934,Junkers Ju-52/3mge,Deutsche Reichsbahn-Gesellschaft,5.0,"Gross-Rackitt, P...",Poland,1934
235,15-NOV-1934,DH.86 Express,Qantas,4.0,"near Ilfracombe, QLD",Australia,1934
236,10-DEC-1934,Ford 4-AT-E Tri-Motor,Cubana,4.0,near Palma Soriano,Cuba,1934
237,19-DEC-1934,Curtiss AT-32B Condor II,American Airways,0.0,"Buffalo, NY",USA,1934
238,20-DEC-1934,Douglas DC-2-115A,KLM,7.0,near Rutbah Wells,Iraq,1934
239,28-DEC-1934,Curtiss T-32C Condor II,American Airways,0.0,"near Wilmurt, NY",USA,1934
240,??-???-1934,Ford 4-AT-B Tri-Motor,Private,0.0,"Boca Chica, Tama...",Mexico,1934
242,31-JAN-1935,Junkers Ju-52/3mge,Deruluft,11.0,near Szczecin,Poland,1935
243,06-APR-1935,Fokker F.XII,KLM,7.0,near Brilon,Germany,1935
244,16-APR-1935,Consolidated 16 Commodore,Pan Am,0.0,"Miami, FL",USA,1935
245,25-APR-1935,Junkers Ju-52/3mho,Deutsche Lufthansa,3.0,near Hallgarten,Germany,1935
246,28-APR-1935,Ford 4-AT-B Tri-Motor,Private,0.0,"Gadsden, AL",USA,1935
247,06-MAY-1935,Douglas DC-2-112,TWA,5.0,"near Atlanta, MO",USA,1935
250,18-MAY-1935,Ford 4-AT-E Tri-Motor,Knowles Flying Service,3.0,Flint-Bishop Air...,USA,1935
251,22-JUN-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,Marsaxlokk Bay,Malta,1935
252,24-JUN-1935,Ford 5-AT-B Tri-Motor,SACO,10.0,MedellAn-Enriqu...,Colombia,1935
253,24-JUN-1935,Ford 5-AT-D Tri-Motor,SCADTA,7.0,MedellAn-Enriqu...,Colombia,1935
254,09-JUL-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,"near MahA3n, Menorca",Spain,1935
255,14-JUL-1935,Fokker F.XXII,KLM,6.0,near Amsterdam-Schiph...,Netherlands,1935
256,17-JUL-1935,Douglas DC-2-115E,KLM,0.0,Bushehr (Bushire...,Iran,1935
257,20-JUL-1935,Douglas DC-2-115E,KLM,13.0,Pian San Giacomo,Switzerland,1935
259,27-JUL-1935,Curtiss AT-32B Condor II,American Airways,0.0,"Murfreesboro, TN",USA,1935
260,03-AUG-1935,Douglas DC-2-112,TWA,0.0,"near Albuquerque, NM",USA,1935
261,02-OCT-1935,DH.86 Express,Holyman's Airways,5.0,"near Flinders Island,...",Australia,1935
262,06-OCT-1935,Douglas DC-2A-127,Standard Oil Company,3.0,"Great Salt Lake, UT",USA,1935
263,21-OCT-1935,Curtiss Condor 18,Chamberlin Flying Service,1.0,"Troy, NY",USA,1935
264,22-OCT-1935,DH.86 Express,Imperial Airways,0.0,Zwettl,Austria,1935
266,25-OCT-1935,Boulton Paul P.71A,Imperial Airways,0.0,Brussel-Haren Ai...,Belgium,1935
267,07-NOV-1935,Savoia-Marchetti S.73P,Sabena,0.0,London-Croydon A...,U.K.,1935
269,09-NOV-1935,Short S.17 Kent,Imperial Airways,0.0,Brindisi,Italy,1935
270,18-NOV-1935,Junkers G.24he,Syndicato Condor,0.0,"IlhAus, BA",Brazil,1935
272,10-DEC-1935,Savoia-Marchetti S.73,Sabena,11.0,Tatsfield,U.K.,1935
273,10-DEC-1935,Potez 62,Air France,0.0,near Auxerre,France,1935
275,31-DEC-1935,Short S.8 Calcutta,Imperial Airways,12.0,near Alexandria,Egypt,1935
276,14-JAN-1936,Douglas DC-2-120,American Airlines,17.0,"Goodwin, AR",USA,1936
277,14-JAN-1936,Junkers Ju-52/3m,Colombian AF,13.0,near Tres Esquinas Ai...,Colombia,1936
278,17-JAN-1936,Junkers Ju-52/3mce,LAB,13.0,near Cochabamba,Bolivia,1936
279,28-FEB-1936,Douglas DC-2-115B,Swissair,0.0,ZA14rich-DA14bendo...,Switzerland,1936
280,05-MAR-1936,Ford 5-AT-D Tri-Motor,CNAC,0.0,near Zigong,China,1936
281,16-MAR-1936,Junkers Ju-52/3m,ALAG,0.0,Saualpe,Austria,1936
282,26-MAR-1936,Ford 5-AT-B Tri-Motor,Mexicana,14.0,near Amecameca de JuA...,Mexico,1936
283,31-MAR-1936,Ford 5-AT-D Tri-Motor,CNAC,0.0,Nanking Airport ...,China,1936
284,07-APR-1936,Douglas DC-2-112,TWA,12.0,"near Fairchance, PA",USA,1936
285,11-APR-1936,Sikorsky S-42,Pan Am,3.0,Port of Spain,Trinidad & Tobago,1936
286,17-APR-1936,Junkers Ju-52/3m,Deutsche Lufthansa,3.0,Orvin (Ilfingen),Switzerland,1936
287,20-APR-1936,Douglas DC-2-115K,CLS,0.0,near Elburg,Netherlands,1936
288,08-MAY-1936,LiorA-et-Olivier H.242/1,Air France,0.0,near Algerian coast,Mediterranean Sea,1936
289,31-MAY-1936,Douglas DC-2-172,TWA,0.0,near Chicago Municipa...,USA,1936
291,09-JUN-1936,Fokker F.XXII,AB Aerotransport,2.0,MalmA-Bulltofta...,Sweden,1936
292,16-JUN-1936,Junkers Ju-52/3m,DNL,7.0,"Mount Lihesten, ...",Norway,1936
293,07-JUL-1936,Vickers Valentia,RAF,7.0,Mersa Matruh Air...,Egypt,1936
294,09-JUL-1936,Curtiss Condor 18,Chamberlin Flying Service,0.0,Terre Haute-Hulm...,USA,1936
296,26-JUL-1936,Junkers G.38di,Deutsche Lufthansa,0.0,Dessau,Germany,1936
297,29-JUL-1936,Curtiss T-32C Condor II,LAN Chile,0.0,CopiapA3 Airport...,Chile,1936
298,08-AUG-1936,Ford 4-AT-B Tri-Motor,Private,0.0,"Hundred, WV",USA,1936
299,12-AUG-1936,DH.86 Express,British Airways,2.0,near Altenkirchen,Germany,1936
300,13-AUG-1936,Curtiss AT-32A Condor II,American Airlines,0.0,Glendale-Grand C...,USA,1936
301,15-AUG-1936,Fokker F.XII,AviaciA3n Nacional,2.0,Biarritz Parme A...,France,1936
302,16-AUG-1936,Fokker F.XII,AviaciA3n Nacional,0.0,La Rochelle-Lago...,France,1936
303,22-AUG-1936,Short S.17 Kent,Imperial Airways,2.0,"Mirabella Bay, C...",Greece,1936
304,15-SEP-1936,DH.86A Express,British Airways,3.0,London-Gatwick A...,U.K.,1936
306,24-SEP-1936,CANT Z.506,Ala Littoria,9.0,near Benghazi,Libya,1936
307,25-SEP-1936,Boulton Paul P.71A,Imperial Airways,2.0,near Dungeness,U.K.,1936
308,29-SEP-1936,A.W. AW.15 Atalanta,Imperial Airways,0.0,Delhi,India,1936
309,10-OCT-1936,Douglas DC-2-118B,Panagra,3.0,near San JosA Pinula,Guatemala,1936
310,01-NOV-1936,Junkers Ju-52/3mge,Deutsche Lufthansa,10.0,near Tabarz,Germany,1936
313,17-NOV-1936,Junkers Ju-52/3mge,Deutsche Lufthansa,4.0,near Lauf an der Pegnitz,Germany,1936
314,19-NOV-1936,Fokker F.XII,British Airways,2.0,"Pound Hill, Tilg...",U.K.,1936
316,28-NOV-1936,Junkers Ju-52/3m,Deutsche Lufthansa,0.0,near Hannover,Germany,1936
317,03-DEC-1936,Junkers Ju-52/3m,Deutsche Lufthansa,6.0,Le Grand-Bornand,France,1936
318,08-DEC-1936,Junkers Ju-52/3m,Condor Legion,4.0,"near Serranillos, Avila",Spain,1936
319,09-DEC-1936,Douglas DC-2-115E,KLM,15.0,London-Croydon A...,U.K.,1936
320,16-DEC-1936,Fokker F.XII,AviaciA3n Nacional,0.0,LeA3n Airport,Spain,1936
321,19-DEC-1936,Douglas DC-2-112,"North American Aviation, op.for Eastern Air Lines",0.0,"near Milford, PA",USA,1936
323,28-DEC-1936,Short S.8 Calcutta,Imperial Airways,0.0,"Mirabello Bay, C...",Greece,1936
327,20-JAN-1937,Ford 5-AT-C Tri-Motor,DePonti Aviation Company,0.0,"Sioux City, IA",USA,1937
328,26-JAN-1937,Sabca Savoia-Marchetti S.73P,Sabena,12.0,near Oran-es Senia Ai...,Algeria,1937
329,09-FEB-1937,Douglas DC-3A-197,United Airlines,11.0,near San Francisco Mu...,USA,1937
331,18-FEB-1937,Douglas DC-2-112,Eastern Air Lines,0.0,Atlanta Municipa...,USA,1937
333,16-MAR-1937,DH.86 Express,Imperial Airways,3.0,Elsdorf,Germany,1937
334,24-MAR-1937,Short S.23 Empire Flying Boat Mk I,Imperial Airways,5.0,near Ouroux,France,1937
335,25-MAR-1937,Douglas DC-2-112,TWA,13.0,"near Clifton, PA",USA,1937
338,01-APR-1937,Ford 5-AT-C Tri-Motor,Star Air Service,0.0,"Lake Spenard, AK",USA,1937
339,03-APR-1937,Douglas DC-3-194B,KLM,8.0,"near McNary, AZ",USA,1937
340,06-APR-1937,Douglas DC-2-115M,LAPE,0.0,Santander-La Alb...,Spain,1937
342,07-MAY-1937,Douglas C-33 (DC-2),USAAC,0.0,"near Clay Springs, AZ",USA,1937
343,29-MAY-1937,Ford 4-AT-B Tri-Motor,Private,0.0,"Belleville, IL",USA,1937
344,31-MAY-1937,Handley Page HP.42E,Imperial Airways,0.0,Karachi,Pakistan,1937
345,02-JUN-1937,Sikorsky S-43,Chilean AF,9.0,near Ancud,Chile,1937
346,16-JUN-1937,Junkers Ju-52/3msai,South African Airways,1.0,Johannesburg/Ger...,South Africa,1937
348,28-JUL-1937,Douglas DC-2-115L,KLM,15.0,near Beert,Belgium,1937
350,02-AUG-1937,Sikorsky S-43B,Panagra,14.0,near CristA3bal,Panama,1937
351,02-AUG-1937,Savoia-Marchetti S.73,Ala Littoria,9.0,Wadi Halfa Airpo...,Sudan,1937
352,06-AUG-1937,Douglas DC-2-152,"Aeroflot, International",6.0,"near Herina, Bistrita...",Romania,1937
353,08-AUG-1937,Sikorsky S-43W,CNAC,3.0,"Chilang Point, B...",China,1937
354,10-AUG-1937,Douglas DC-2-112,Eastern Air Lines,4.0,Daytona Beach Mu...,USA,1937
356,21-AUG-1937,Ford 5-AT-C Tri-Motor,Republic Oil Co.,0.0,"Fairbanks, AK",USA,1937
357,23-AUG-1937,Douglas DC-2-118A,Panagra,3.0,"near San Luis, SL",Argentina,1937
359,27-SEP-1937,Curtiss T-32C Condor II,Private,0.0,New York-Floyd B...,USA,1937
360,27-SEP-1937,Curtiss AT-32B Condor II,American Airlines,0.0,New York-Floyd B...,USA,1937
363,01-OCT-1937,Short S.23 Empire Flying Boat Mk I,Imperial Airways,3.0,Faliro Bay,Greece,1937
364,06-OCT-1937,Douglas DC-3-194B,KLM,4.0,Palembang-Talang...,Indonesia,1937
366,17-OCT-1937,Douglas DC-3A-197,United Airlines,19.0,"near Knight, WY",USA,1937
368,27-OCT-1937,Dewoitine D.333,Air France,6.0,near El Jadida,Morocco,1937
369,16-NOV-1937,Junkers Ju-52/3mge,Sabena,11.0,near Stene Airfield,Belgium,1937
370,23-NOV-1937,Douglas DC-2-115D,LOT,6.0,Pirin Mountains,Bulgaria,1937
371,26-NOV-1937,Junkers Ju-52/3mfe,Deutsche Lufthansa,3.0,London-Croydon A...,U.K.,1937
373,03-DEC-1937,Junkers Ju-52/3mte,Deutsche Lufthansa,1.0,MA14nchen,Germany,1937
374,05-DEC-1937,Short S.23 Empire Flying Boat Mk I,Imperial Airways,2.0,Brindisi,Italy,1937
375,08-DEC-1937,Potez 621,Air France,2.0,near Saint-Sauveur,France,1937
376,15-DEC-1937,Junkers Ju-52/3mce,LAB,8.0,near Sorata,Bolivia,1937
377,04-JAN-1938,Junkers Ju-52/3mte,Deutsche Lufthansa,6.0,near Frankfurt,Germany,1938
378,10-JAN-1938,Lockheed 14-H Super Electra,Northwest Airlines,10.0,"near Bozeman, MT",USA,1938
379,11-JAN-1938,Sikorsky S-42B,Pan Am,7.0,"near Pago Pago, Ameri...",Pacific Ocean,1938
